CUSTOMER_ID,MOLFORMULA,MOLWEIGHT,ANALYTICAL_RESULT,SMILES,SALTDATA,Plate Position 1,MGL Plate labcyte,Plate volume labcyte,WellConcentration,LibraryID,LibraryID (#1),Batchref
F20221117_0616,C24H27FN4OS,438.57,93%,Cc1nc(Nc2cccc(C3CCCN3C(=O)C(C)(C)c3cccc(F)c3)n2)sc1C,,P21,MGL_0000003_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0990,C21H23N3O6,413.43,90%,O=C1CCC(N2C(=O)c3cccc(NC[C@H]4CC[C@H](C(=O)O)CC4)c3C2=O)C(=O)N1,,P22,MGL_0000003_L01,90,10000,MGL,Molecular Glue-like Library,1
F20221117_0977,C24H31N3O10,521.53,95%,O=C(O)CCOCCOCCOCCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,,A03,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0596,C18H18N6OS,366.45,93%,Nc1ccc(C(=O)N2CCCC2c2cccc(Nc3nccs3)n2)cn1,,A05,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0722,C19H26N4O2S,374.51,93%,CCC(CC)C(=O)N1CCOC(c2cccc(Nc3ncc(C)s3)n2)C1,,A07,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0657,C17H22N4OS,330.46,93%,CC(C)CC(=O)N1CCCC1c1csc(Nc2ccccn2)n1,,A09,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0816,C24H34N4OS,426.63,93%,CCCCc1cnc(Nc2cccc(C3CCN(C(=O)C4CCCCC4)CC3)n2)s1,,A11,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0873,C28H41N5O3S,527.73,92%,CCCCc1cnc(Nc2cccc(C3CCN(C(=O)C4(C)CCCN4C(=O)OC(C)(C)C)CC3)n2)s1,,A13,MGL_0000004_L01,92,10000,MGL,Molecular Glue-like Library,1
F20221117_0974,C19H20FN3O8,437.38,95%,O=C(O)COCCOCCNc1cc2c(cc1F)C(=O)N(C1CCC(=O)NC1=O)C2=O,,C03,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0586,C20H22N6OS,394.5,93%,Cc1csc(Nc2cccc(C3CCCN3C(=O)c3cnc(C)nc3C)n2)n1,,C05,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0735,C21H22N4O2S,394.5,93%,Cc1cnc(Nc2cccc(C3CN(C(=O)Cc4ccccc4)CCO3)n2)s1,,C07,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0288,C16H20N4O3S,348.43,91%,CCCC(=O)Nc1ccc(S(=O)(=O)Nc2nc(C)cc(C)n2)cc1,,C09,MGL_0000004_L01,91,10000,MGL,Molecular Glue-like Library,1
F20221117_0913,C15H17FN4OS,320.39,93%,CC(=O)N1CCC(c2csc(Nc3ccc(F)cn3)n2)CC1,,C11,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0984,C24H31N3O10,521.53,95%,O=C(O)CCOCCOCCOCCOCCNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,,E03,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0611,C22H25N5O3S,439.54,93%,COc1cc(CN2CCCC2c2cccc(Nc3nccs3)n2)ccc1OCC(N)=O,,E05,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0765,C20H26N4OS,370.52,92%,Cc1cnc(Nc2cccc(C3CCN(C(=O)C4CCCC4)CC3)n2)s1,,E07,MGL_0000004_L01,92,10000,MGL,Molecular Glue-like Library,1
F20221117_0887,C26H37N5O2S,483.68,93%,Cc1cnc(Nc2cccc(C3CCN(C(=O)C4(NC(=O)C(C)(C)C)CCCCC4)CC3)n2)s1,,E09,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0751,C23H33N5OS,427.62,91%,Cc1cnc(Nc2cccc(C3CCN(CC(=O)N(C)C4CCCCC4)CC3)n2)s1,,E11,MGL_0000004_L01,91,10000,MGL,Molecular Glue-like Library,1
F20221117_0983,C22H27N3O9,477.48,95%,O=C(O)CCOCCOCCOCCNc1ccc2c(c1)C(=O)N(C1CCC(=O)NC1=O)C2=O,,G03,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0947,C12H19N7O,277.33,92%,CN[C@@H]1CCC[C@@H](n2cnc3c(N)nc(N)nc32)[C@@H]1O,,G05,MGL_0000004_L01,92,10000,MGL,Molecular Glue-like Library,1
F20221117_0988,C25H23N3O6,461.48,95%,O=C1CCC(N2C(=O)c3cccc(N4CCC(C(=O)O)(c5ccccc5)CC4)c3C2=O)C(=O)N1,,G07,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0698,C22H22N6O2S,434.52,94%,Cc1nc2ccccn2c1CC(=O)N1CCOC(c2cccc(Nc3nccs3)n2)C1,,G09,MGL_0000004_L01,94,10000,MGL,Molecular Glue-like Library,1
F20221117_0804,C23H32N4OS,412.6,91%,CCCc1cnc(Nc2cccc(C3CCCN(C(=O)C4CCCCC4)C3)n2)s1,,G11,MGL_0000004_L01,91,10000,MGL,Molecular Glue-like Library,1
F20221117_0973,C18H19N3O7,389.37,95%,O=C(O)CCOCCNc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,,I03,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0628,C23H33N5OS,427.62,92%,Cc1nc(Nc2cccc(C3CCN(CC(=O)N4CCC(C)CC4)CC3)n2)sc1C,,I05,MGL_0000004_L01,92,10000,MGL,Molecular Glue-like Library,1
F20221117_0952,C23H22N6OS,430.54,95%,O=C(/C=C/c1cnc[nH]1)N1CCC(c2cc3ccccc3c(Nc3nccs3)n2)CC1,,I07,MGL_0000004_L01,95,10000,MGL,Molecular Glue-like Library,1
F20221117_0795,C20H28N6O2S,416.55,91%,Cc1cnc(Nc2cccc(C3CN(C(=O)CN4CCN(C)CC4)CCO3)n2)s1,,I09,MGL_0000004_L01,91,10000,MGL,Molecular Glue-like Library,1
F20221117_0843,C22H31N5OS,413.59,93%,CCCc1cnc(Nc2cccc(C3CCN(C(=O)[C@@H]4CCCCN4)CC3)n2)s1,,I11,MGL_0000004_L01,93,10000,MGL,Molecular Glue-like Library,1
F20221117_0994,C24H27FN4O6,486.5,90%,O=C1CCC(N2C(=O)c3cc(F)c(N4CCN(C5CCC(C(=O)O)CC5)CC4)cc3C2=O)C(=O)N1,,K03,MGL_0000004_L01,90,10000,MGL,Molecular Glue-like Library,1
F20221117_0613,C23H25FN4OS,424.54,90%,Cc1cc(CCCC(=O)N2CCCC2c2cccc(Nc3nccs3)n2)ccc1F,,K05,MGL_0000004_L01,90,10000,MGL,Molecular Glue-like Library,1
